filename,category,source,has_annotation,contributor
00689.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00201.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00121.jpeg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00783.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00352.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00324.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00304.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00227.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00779.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00193.jpeg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00722.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00782.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00601.jpeg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0018.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00643.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00489.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00128.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00126.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00185.jpeg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0030.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00313.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00565.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00654.jpeg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00123.jpg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00616.jpeg,Administrative form,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00282.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
0076.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00699.jpeg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00746.png,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00601.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00486.jpeg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
00301.jpg,Invoice,Kaggle - Humans in the Loop - Arabic Documents OCR Dataset,True,Samar Zaabouti
