document_id,cer,wer,reference_length_chars,hypothesis_length_chars
00121,3.8475,4.9,59,263
00123,53.3529,53.0,17,924
00126,6.2821,7.5,39,272
00128,13.7619,11.2222,42,615
0018,22.3939,20.2857,33,772
00201,381.5714,483.0,7,2678
00227,121.0,125.5,12,1342
0030,5.2222,5.5,36,224
00304,33.0,24.5,8,272
00313,7.1053,10.0,19,146
00324,39.125,29.0,8,321
00489,16.7273,18.0,11,194
00565,7.0,9.4,25,194
00601,92.0,103.0,6,558
00643,4.3235,6.0,34,181
00654,3.0769,5.8,39,143
00689,33.8571,48.25,21,729
00779,23.1875,29.0,32,772
00782,16.1389,19.1667,36,613
00783,22.087,16.8,23,531
00104,55.5,64.0,6,339
00301,9.7059,12.0,17,179
00355,92.6,98.0,5,468
00412,3.6486,5.6667,37,158
00486,56.375,75.0,8,459
00489,36.7273,39.5,11,414
00512,31.1667,48.0,6,190
00601,106.5,118.0,6,645
00742,68.6,69.0,5,346
0076,15.8276,16.2,29,487
008,8.963,10.0,27,265
00802,41.0714,44.5,14,588
0086,20.3333,25.5,12,256
0089,13.6232,20.7,69,996
